product,rating,rating count,price,description
"GRS Super Kids Zone Popular Willow Cricket Bat with Wicket Set & 1 Tennis Ball for Kids (Size 3, Age 6-10 Year Old Kids), Wood ",3.5 out of 5 stars,72  ,429,"In The Box: 1 Pc Wooden Bat Size 3, 1 Wicket Set ( 3Stand, 2 Bails, 1 Base), 1 Tennis Ball"
"Generic 2023 Special Edition Popular Willow Cricket Bat, Full Size (Popular Willow bat with Ball) Multicolor ",3.2 out of 5 stars,24  ,590,No description available
"PMG Popular Willow Wooden Kukaburra Cricket Bat Full Size 33.5 In For 14+ Years Boys & Girls With Ball (With 1 Ball, Size Full For 14+ Years, With 1 Ball) ",3.0 out of 5 stars,37  ,400,This Bat Is Hand Crafted Specially For New Players. It Comes With A Premium Anti Slip Rubber Grip. This Bat Is Made With Special Selected English Willow To Ensure Stability And Accuracy While Playing All Types Shots. All Our Products Have High Durability And Best In Class Finish. This Bat Is Specially Designed For All Types Of On Field And Off Field Matches. It Can Play All Light And Heavy Balls.
TOSKA Wood Speartan Multicolour Full Size Poplar Willow Cricket Bat For Tennis Ball ,3.6 out of 5 stars,27  ,729,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. Spartan Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
RE Wood AVS Boys Cricket Bat with Ball for Kids Size 6 (with Ball & Cover) 12-15 yrs Boys/Girls ,5.0 out of 5 stars,1  ,392,Explore a wide range of Cricket bat for Kids from the house of RE available on Amazon.
Special Grand Edition Hard Tennis Kashmir Willow Cricket Bat Play with Tennis Ball Extra Sturdy Grip | Ready to Play | Extra Protective Fishing Tape (Full Size) ,,N/A,"1,699","""Made with fine Kashmir wood, this cricket bat becomes the tool of choice when it comes to hitting sixes and stealing hearts. Handling the bat is a dream, the half cane handle and the mid blade sweet spot both work together to give you stable and powerful swings for every ball --- every over. The bat's handle is equipped with modern technology for outstanding feel, flex and control. This bat is perfect for the training grounds or even official matches, so get yourself one today."
TOSKA BAT CEAT Full Size Popular Willow Cricket BAT for Tennis Ball (1 BAT) ,3.4 out of 5 stars,14  ,699,No description available
VINOX MRF Virat Kohli Wooden Cricket Bat for Boys 1 VAP 1 bat and 3 Balls (6) ,2.5 out of 5 stars,9  ,499,"Tennis Ball Cricket Bat Handcrafted using reinforced wood for long-term strength, this is the perfect bat for home or club play. It features an excellent handle, reinforced with firmly wound string and a rubber sleeve for increased durability, and is made for use with tennis balls only. Great for beginners, this bat will give those just starting to play the game a good feel and performance level. Weighs Only 200 g. Each size no 5 bat is lightweight at only 150-200 g, allowing you to hit the ball with both speed and power. With the right weight, you will be able to time the ball better and ultimately make more runs. Superb Pick-up. Each Cricket Bat gives a precise design and shapes for the best performance. This unique shape gives superb pick-up, making the bat feel lighter than it actually is and making it easy to control when swinging and hitting the ball. Easy Grip. Outfitted with a rubber sleeve for extra comfort, the Cricket Bat is easy to grip and hold for lengthy periods of time. This handle allows for longer practice sessions so you can enjoy playing for hours on end."
GM Diamond 505 English Willow Cricket Bat for Men | Short Handle| Ready to Play | Lightweight | Free Cover | ,4.1 out of 5 stars,3  ,"10,729",No description available
GM Mythos Men's Bullet English Willow Wood Cricket Bat with Cloth Covering and Short Handle with Free Cover ,3.6 out of 5 stars,168  ,"4,769",GM Mythos Excalibur English Willow Professional Cricket Bat For Mens | Free Cover | Ready to Play | Lightweight | Size - Mens |
"TOSKA Wooden Cricket Bat Full Size Popular Willow TSK-MRF VK Genius-Cricket Bat with Bat Cover for Tennis Ball, Rubber Ball, Plastic Ball (Women & Men) ",4.3 out of 5 stars,3  ,739,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. MRF Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
Jaspo Hybrid Plastic Cricket Bat (PU Filled Inside) Composite Hard Plastic Bat Suitable for Soft Cricket Ball Recommended for Kids/Junior/Senior/Boys/Girls – Made in India (Size-5 (BAT + Ball)) ,2.8 out of 5 stars,7  ,"1,139",Product Description
"Airic Kashmiri Popular Willow Cricket Bat with Ball, Wickets and Bag Cricket Kit (Size 4 (9 to 11 Years)) ",3.4 out of 5 stars,5  ,745,The blade of the bat is made of Popular willow which is extremely hardy. The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket.
GRS® Kids Zone Popular Willow Wooden Cricket Bat for Kids (Size 1 for Age Group 4-5 Years Kids) ,3.9 out of 5 stars,209  ,189,GRS® Kids Zone Popular Willow Wooden Cricket Bat for Kids (Size 1 for Age Group 4-5 Years Kids)
Oneten English Willow Bat for Professional Matches with High Grains Full Size by Maxxic Sports ,4.0 out of 5 stars,2  ,"1,999",English Willow Plain Bat by Maxxic Sports
"cosco Stricker Size-5 Wood Popular Willow Cricket Bat, Size 5 ",3.6 out of 5 stars,21  ,739,"cosco Stricker Size-5 Wood Popular Willow Cricket Bat, Size 5"
Heega ™ English Technology Bigbully Mongoose Kashmir Willow Cricket bat(Pre-Knocked) | Free Bat Cover | Well Balanced | Short Blade Longer Handle Full Size Adult ,4.3 out of 5 stars,51  ,"2,200",No description available
Sportsholic Cricket Bat for Kids Size 2. Sticker May Vary ,5.0 out of 5 stars,2  ,278,Wooden cricket bat for kids for tennis ball play
Msb Sports Kashmir Willow Cricket bat Tennis Cricket bat with Strong Grip Kashmiri Grade ,,N/A,998,Perfect kashmir willow cricket bat directly from the valley of Kashmir. As Kashmiri Willow Bat needs Knocking Before Playing So This Combo Helps Player to Prepare Bat completely by Knocking and Grip Handle According to comfort.
"JRS Boys Popular Willow Cricket Bat M Size 3 with Ball and Cover (6-9 Year Year Old Kids) Pack of 1, Wood Cricket bat kit Set ",2.5 out of 5 stars,16  ,399,Explore a wide range of Cricket bat for Kids from the house of JRS available on Amazon.
"DSC Fire Kashmir Willow Cricket Bat, Short Handle ",3.6 out of 5 stars,4  ,"2,078","DSC Fire Kashmir willow Cricket Bat, Short Handle"
"RS Sports Virat Kohli Wooden Cricket Bat for Boys 5-8 Years, Size-2 (1 Bat, 1 Ball and Stump Set) ",1.0 out of 5 stars,1  ,599,The blade of the bat is made of Popular willow which is extremely hardy. The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing above 5-7 years boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket. Size: short handle
GRS® Boom Kids Zone Popular Willow Wooden Cricket Bat for Kids (Size 1 for Age Group 4-5 Years Kids) ,3.9 out of 5 stars,33  ,189,GRS® Boom Kids Zone Popular Willow Wooden Cricket Bat for Kids (Size 1 for Age Group 4-5 Years Kids)
"SG RSD Spark Kashmir Willow Cricket Bat, Size 4 (Color May Vary) ",4.0 out of 5 stars,568  ,"1,648",SG Sierra 250 cricket bat is made from good quality material English willow which provides you traditional shape and styled with durable performance. This cricket bat contains 11 to 13 straight grains. It is equipped with new multi color player grip for superior sense of control. This cricket bat handle is made of premium imported Sarawak cane to offer you excellent power pack and great control. This SG bat has toe protected for high durability and also maintaining the moisture level. Weight of the bat is 1180 to 1250 grams.
"SS TONKWJNR005 Kashmir-Willow Ton Reserve Edition Cricket Bat, Size 2, Kashmir Willow ",3.8 out of 5 stars,6  ,"2,599","No great achievement is accomplished overnight or without difficulty. And those who believe in it are the legends. They determine… they sweat… they exert themselves beyond limit to achieve what they dream of. Situations do knock them down sometimes… but they get up with a strong belief that there is no dream that cannot be turned into reality. At SS, we believe in the power of such conviction. That is why to make your journey towards your passion a wonderful experience, we bring you the world-class cricket equipment's and accessories. From cricket bats made from English and Kashmir willow to high quality balls, gloves, leg guards, body protectors, helmets and accessories, SS manufactures everything that a serious cricketer needs."
KT Xtroke Popular Willow Cricket Bat for All Tennis Ball Boys and Girls Advance Play (Full Size) (Scoop Bat with Tennis Ball and Bat Cover) ,,N/A,455,"Light weight bats and Great pick up, highly recommended for acadmey training. perfect for subcontinental pitches. And every bat also comes fitted with a toughened toe guard for extra protection and durability.Latest design will help the individual adapt comfortably for all formats of game i.e T20 for quick hitting,Hand made bats mostly gives better performance than the bats made using other mechanisms as the balance of such bats is much better because they go through multiple manual quality checks while the process of making, which is not practically possible in other bat making mechanisms.An Expertly Crafted Lightweight Bat Made From Super Premium Popular Willow. Made For Light Tennis Ball Cricket. The Aerodynamically Designed Long Cane Handle And Broad Face Makes The Hawk Light On Pickup And Helps Deliver Canny Deflections And Whiplash Strokes On Every Backyard, Street or Ground. Just Mind The Windows. The Curved Long Handle Profile Of The Bat Is Suited For Dhoni Style Helicopter Shots."
Heega ™ Premium Grade Mongoose Kashmir Willow Cricket bat | Free Bat Cover | Shorter Blade and Longer Handle ,3.9 out of 5 stars,30  ,"1,769",No description available
Heega’s Kashmir Willow Camel-Shaped Cricket Bat | Size 6 ,,Only 2 left in stock.,"3,999",No description available
MSB SPORTS Kashmir Willow Bat with Cricket Hammer Free for Men and Women (Standard_Green) ,3.2 out of 5 stars,10  ,800,Playing level: training easy to use store and carry in-box contents: 1 cricket bat with cricket hammer-free Professional and division level players. Excellent balance. Traditionally shaped and styles.
Generic Super Power Cricket bat Popular Willow Cricket bat (Popular Willow bat) Multicolor ,2.6 out of 5 stars,22  ,630,No description available
RS Sports Virat Kohli Poplar Willow Wooden Cricket Bat with Tennis Cricket Ball (Combo) Size-3 for Boys Above 5-9 Years Multi Color ,3.4 out of 5 stars,3  ,399,The blade of the bat is made of Popular willow which is extremely hardy. The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing above 5-9 years boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket. Size: short handle (FOR KIDS) SIZE-3
Zh Cricket Bat Explosive Power Kashmir Willow with Free Bat Cover (Handle : 5/6/Harrow/SH/LH) ,3.9 out of 5 stars,29  ,999.,No description available
"MSB Sports Popular Willow Cricket Bat for Tennis Ball, Size 5,Natural(ST-5-Popular) Small Size for Kids -Kids ",,N/A,390,popular willow cricket bat small size 5 /6 no
Optimus® Cricket Scoop Bat Himachal Willow Full Size with Tetron Cover for Soft & Hard Tennis/Rubber Ball Play (No Leather Ball Play) ,3.5 out of 5 stars,10  ,799,"★ Optimus Zumba Stylish Scoop Himachal Willow Cricket Bat is made with premium quality Himachal willow that offers you outstanding performance and durability. Make the teams stunned with your style statement after each cricket shot that you'll play with this Innovatively designed bat with different scoop designs. ★ With this classy bat, you can play with any tennis ball whether its hard tennis ball (Red) or soft tennis ball (Green). It is mandatory - NOT TO PLAY WITH ANY HARD LEATHER BALL with this bat - due to its unique scoop design. ★ It has large bow that allow you to play great shots in cricket ground. It is equipped with finest Cane handle that will be able for maximum flexibility and great control. This cricket bat contains 8 to 12 straight grains. ★ It comes with slightly curved thick blade and thick edge for good sweet spot. It comes with the oval handle keeps your hand better aligned on the bat. Cane gives you the required durability and flexibility. ★ This Optimus Zumba Stylish Scoop Himachal Willow Cricket Bat is equipped with different scoop designs to further enhance its style. This bat comes in good quality TETRON cover to carry this easily. Go, grab one. ★"
Oneten English Willow Bat for Professional Matches with Hight Grains Full Size ,2.8 out of 5 stars,20  ,"1,988","Modern cricket bat have flat toe bottom, sharp edge and filled back profile. Some profiles have filled backs with little to no conceiving. Modern bats still come with traditional profile as rounded toe, rounded edge and concave back profile."
"PMG Wooden Cricket Bat Ball with 1 Tennis Ball, Poplar Willow (for 3-5 Years Kids) ",3.6 out of 5 stars,46  ,245,In The Box: 1 Pc Wooden Bat & 1 Tennis Ball
GM 1600950 Argon Cricket 17-Inch ,3.6 out of 5 stars,14  ,299,"This is small bat. It is used to get autographs of cricket players & can be showcased. These bats could be gifted, however due to their small size it can't be used for playing cricket. Its good for display."
SG Catch Cricket Bat (Color May Vary) - Material: Wood ,3.1 out of 5 stars,42  ,"1,434",In Box contents: 1 Cricket Bat with Cover . Best to gift to a cricket lover and player.
"Wooden Cricket Bat for Boys & Girls, Rohit Sharma Bat, Lightweight & Durable Poplar Willow Bat, Only Bat (Size 1 for Age 3-4 Years) ",,N/A,277,"Looking for the perfect cricket bat for boys and girls? Look no further than our junior cricket bat, designed specifically for young cricketers who are just starting to learn the sport. Crafted from high-quality Willow, our cricket bats are lightweight and durable, making them easy for kids to swing and perfect their technique. With a comfortable grip and a range of sizes and weights to choose from, our bats are perfect for children of ages and sizes. Whether your child is just starting out in cricket or is a seasoned player, our junior cricket bat is a great choice for improving their game. So why wait? Order your cricket bat today and get your child on the path to becoming a cricket superstar!"
S.stock Plan English Willow Leather Bat with Big Edge & Light Weight. Full Size ,3.0 out of 5 stars,39  ,"2,499","Aira cricket bats are recognized by professional players and rival brands as the best cricket bats in the World. Pick up & play with a Aira Cricket Bat and feel the difference. Each and every bat is handcrafted to the unwavering standards of Aira Industries and modern manufacturing.The entire blade is engineered to give more pronounced bow leading to improved pick-up and superb maneuverability.Its extended Power Zone from mid to lower part of blade provides monstrous hitting area and suits the subcontinental pitches. Once you strike, youll notice extra control, touch and feel, all thanks to its treble-spring multi-piece cane handle and superior cushioned grip."
"TOSKA New BALANCE's DC 1080 Cricket Bat Full Size Popular Willow Cricket Bat for Tennis Ball, Leather Ball, Rubber Ball ",2.4 out of 5 stars,10  ,736,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. New Balance Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
XTROKE The Boss Edition Scoop Design Popular Willow Cricket Bat with Bat Cover for All Tennis Ball Boys and Girls Advance Play (Full Size) ,1.0 out of 5 stars,1  ,449,"Light weight bats and Great pick up, highly recommended for acadmey training. perfect for subcontinental pitches. And every bat also comes fitted with a toughened toe guard for extra protection and durability.Latest design will help the individual adapt comfortably for all formats of game i.e T20 for quick hitting,Hand made bats mostly gives better performance than the bats made using other mechanisms as the balance of such bats is much better because they go through multiple manual quality checks while the process of making, which is not practically possible in other bat making mechanisms.An Expertly Crafted Lightweight Bat Made From Super Premium Popular Willow. Made For Light Tennis Ball Cricket. The Aerodynamically Designed Long Cane Handle And Broad Face Makes The Hawk Light On Pickup And Helps Deliver Canny Deflections And Whiplash Strokes On Every Backyard, Street or Ground. Just Mind The Windows. The Curved Long Handle Profile Of The Bat Is Suited For Dhoni Style Helicopter Shots."
"AB FITNESS Heavy Duty Plastic Cricket Bat,Full Size (34” X 4.5”inches) Premium Bat for All Age Groups – Kids/Boys/Girls/Adult (Black Full Size Black ",5.0 out of 5 stars,1  ,296,"Height and Width: Cricket Bat having 34 inches height, 4.5 “inches width and 3 inches thickness. This Bat is lightweighted, waterproof and having superior quality. Bat comes in full Adult size. This bat is environment friendly and easy to carry anywhere. Material: Premium quality hard plastic."
TOSKA Full Size MRF Cricket Bat with Bat Cover for All Hard and Soft Tennis Ball/Leather Ball Cricket Bat (Men|Women) (Red) ,5.0 out of 5 stars,1  ,789,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. MRF Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 950 - 1150gm Grains - 5-6 grains Full Size Cricket Bat."
DSC Wildfire Kashmir Willow Tennis Cricket Bat ,3.5 out of 5 stars,84  ,"1,820",No description available
